speaker_id	vowel_id	context	F1	F2	F3	F1_glide	F2_glide	F3_glide
minf01	e		535.4410251526	1866.2554094434	2783.9988088497			
minf01	e		470.1491092714	2088.1302150406	2587.6135471254			
minf01	A		990.4054676199	1299.9070295551	3095.8373568354			
minf01	i		374.8933336433	2164.4561830837	2864.6284215654			
minf01	a		859.1421437521	1269.1666148055	2977.846987736			
minf01	A		919.1224436354	1261.3990096168	2402.5859155835			
minf01	i		365.2815022026	2153.3872412696	2905.6410586215			
minf01	i		316.5627190363	2220.8004596585	2987.35627668			
minf01	O		577.8171308591	1091.2663968179	2683.6470243128			
minf01	a		804.7329854475	1314.4252137901	2442.9950788016			
minf01	O		646.0947957758	1012.0386765047	3231.4818152184			
minf01	o		584.8360258005	969.4753212007	2884.2628973559			
minf01	i		303.9884442431	2233.7927903615	2984.4893736172			
minf01	E		618.2380923188	1922.7274666695	2556.7777515572			
minf01	o		512.6159045124	1033.894828514	3205.9730814296			
minf01	a		688.7091827748	1289.2091286873	2572.2160937801			
minf01	O		559.1099318916	950.8190356609	3334.7297558773			
minf01	i		407.6031752483	2291.5725721586	2777.6651238124			
minf01	i		319.270354323	2205.5372345065	2706.5389950683			
minf01	u		321.6297986232	1150.0753801658	2351.3086182255			
minf01	I		285.6305783841	2167.0949459418	2994.3152428569			
minf01	e		569.0529480458	1509.7873217423	2385.4131290876			
minf01	O		531.2298843811	994.7066982508	2961.3697974771			
minf01	i		315.0876618698	2102.2990884993	2419.5387831572			
minf01	i		324.4955655124	2185.6232549092	2763.1087535239			
minf01	a		782.052536078	1283.1055430321	2302.3708089926			
minf01	I		300.9698329797	2202.2616182082	2956.301793905			
minf01	A		978.0867528787	1230.8588205795	3192.3374724201			
minf01	a		724.4371165	1255.7105417274	2785.6883442171			
minf01	U		416.0621080623	1085.6775675991	3289.3745278325			
minf01	i		282.2773588044	2138.8007963206	2903.7138241735			
minf01	i		316.6932737562	2170.7473060741	2827.2017831673			
minf01	O		594.5097078222	847.7687834724	3130.7878616758			
minf01	i		316.6502128534	2150.4846613752	2878.3686858102			
minf01	I		308.4957893794	2253.1259915593	2942.0020859766			
minf01	o		560.187309664	959.3067109816	2951.2268790706			
minf01	a		845.5013047869	1181.2015304937	2914.4026809646			
minf01	u		368.9184982198	1205.4580406481	2487.8322664899			
minf01	A		963.5381047722	1246.7190050277	2466.513018182			
minf01	e		548.7609168651	1827.0617112144	2486.4566283679			
