speaker_id	vowel_id	context	F1	F2	F3	F1_glide	F2_glide	F3_glide	
finf3	E		781	2046				
finf3	o		589	1280								
finf3	a		947	1538				
finf3	I		360	2600				
finf3	o		491	1262				
finf3	E		737	2119				
finf3	o		532	1324				
finf3	i		369	2604				
finf3	E		860	2096				
finf3	o		565	1331				
finf3	O		428	1036				
finf3	a		884	1322				
finf3	a		732	1455				
finf3	I		391	2775				
finf3	a		1056	1771				
finf3	A		1136	1483				
finf3	i		594	1463				
finf3	a		928	1445				
finf3	A		1117	1525				
finf3	i		386	2565				
finf3	i		430	2846				
finf3	A		1083	1409				
finf3	o		577	1103				
finf3	E		784	2037				
finf3	o		526	1322				
finf3	E		777	2077				
finf3	a		937	1546				
finf3	A		983	1394				
finf3	e		554	1533								
finf3	E		823	1974				
finf3	o		447	1528								
finf3	E		774	2102				
finf3	o		482	1408				
finf3	a		904	1580				
finf3	A		954	1422				
finf3	e		542	1310				
finf3	I		380	2881				
finf3	a		840	1464				
finf3	E		416	2537				
finf3	e		787	2230				
finf3	E		417	2769				
finf3	a		843	1393				
finf3	A		803	1392				
finf3	o		552	1377				
finf3	o		495	1165				
finf3	A		838	1479				
finf3	o		514	1286				
finf3	o		523	1636				
finf3	A		876	1663				
finf3	O		675	1181				
finf3	o		654	1420				
finf3	a		795	1743				
finf3	O		487	1386				
finf3	e		516	2267				
finf3	A		826	1601				
finf3	o		778	1627				
finf3	a		917	1760				
finf3	O		551	1213				
finf3	a		1056	1623				
finf3	E		932	1455				
finf3	a		916	1166				
finf3	A		1166	1592				
finf3	E		983	2050				
finf3	U		386	1201				
finf3	e		608	2077				
finf3	E		1048	2053				
finf3	o		736	1244				
finf3	E		964	1946				
finf3	a		1022	1339				
finf3	i		412	2717				
finf3	O		535	1201				
finf3	e		958	1932				
finf3	u		460	1337				
finf3	a		800	1176				
finf3	U		443	1065				
finf3	o		502	1289				
finf3	i		462	2767				
finf3	a		913	1761				
finf3	i		484	2643				
finf3	A		905	1306				
finf3	o		411	1205				
finf3	U		398	1158				
finf3	I		593	2644				
finf3	I		469	2600				
finf3	I		429	2553				
finf3	U		436	1264				
finf3	a		972	1317				
finf3	U		459	1020				
finf3	a		1004	1381				
finf3	I		414	2695				
finf3	U		419	1339				
finf4	O		623	1123				
finf4	o		535	1330				
finf4	E		807	2041				
finf4	e		680	1859				
finf4	A		948	1438				
finf4	a		767	1333				
finf4	E		908	1969				
finf4	a		869	1359				
finf4	i		318	2558				
finf4	E		611	1769				
finf4	o		569	1321				
finf4	i		481	2623				
finf4	E		724	1790				
finf4	o		720	1317				
finf4	I		450	2720				
finf4	a		830	1397				
finf4	I		485	2711				
finf4	o		562	1310				
finf4	E		857	1935				
finf4	o		528	1330				
finf4	i		312	2546				
finf4	E		792	1792				
finf4	o		536	1317				
finf4	O		436	1089				
finf4	a		787	1302				
finf4	a		762	1670				
finf4	I		334	2610				
finf4	a		922	1397				
finf4	A		901	1433				
finf4	i		433	2651				
finf4	e		718	1646				
finf4	a		950	1463				
finf4	i		480	2604				
finf4	A		953	1386				
finf4	o		531	1209				
finf4	E		842	1970				
finf4	o		518	1319				
finf4	E		777	1980				
finf4	a		745	1373				
finf4	A		924	1380				
finf4	e		680	2067				
finf4	i		395	2563				
finf4	E		705	1821				
finf4	o		530	1330				
finf4	i		334	2619				
finf4	E		695	1775				
finf4	o		727	1330				
finf4	a		710	1464				
finf4	A		839	1450				
finf4	e		693	1615				
finf4	I		463	2455				
finf4	a		766	1348				
finf4	E		421	2548				
finf4	e		762	1847				
finf4	E		424	2388				
finf4	a		637	1333				
finf4	A		927	1379				
finf4	o		660	1353				
finf4	o		441	1269				
finf4	A		959	1296				
finf4	o		734	1411				
finf4	A		938	1241				
finf4	o		720	1356				
finf4	O		561	1173				
finf4	o		652	1374				
finf4	a		663	1465				
finf4	O		466	1193				
finf4	e		744	1775				
finf4	A		920	1396				
finf4	o		580	1368				
finf4	a		788	1365				
finf4	O		599	1238				
finf4	o		463	1289				
finf5	O		844	1169				
finf5	o		761	1388				
finf5	E		856	1860				
finf5	e		586	2150				
finf5	A		883	1379				
finf5	a		782	1434				
finf5	E		819	1989				
finf5	o		818	1255				
finf5	E		884	1492				
finf5	o		580	1278				
finf5	I		346	2635				
finf5	a		808	1692				
finf5	I		383	2588				
finf5	o		491	1250				
finf5	E		894	2048				
finf5	E		933	1885				
finf5	o		426	1292				
finf5	O		441	1086				
finf5	a		737	1279				
finf5	a		854	1568				
finf5	I		419	2596				
finf5	a		1009	1557				
finf5	A		1026	1413				
finf5	i		402	2292				
finf5	e		762	1995				
finf5	a		1077	1622				
finf5	A		798	1119				
finf5	i		383	2553				
finf5	A		964	1333				
finf5	o		610	1223				
finf5	E		994	1671				
finf5	o		568	1304				
finf5	E		891	2074				
finf5	a		930	1301				
finf5	A		1053	1299				
finf5	e		791	2102				
finf5	o		429	1534				
finf5	E		965	1633				
finf5	a		840	1335				
finf5	A		1067	1349				
finf5	I		370	2901				
finf5	a		804	1435				
finf5	E		364	1414				
finf5	e		667	2096				
finf5	a		1061	1419				
finf5	A		933	1333				
finf5	o		479	1148				
finf5	o		461	1178				
finf5	A		869	1299				
finf5	o		435	1093				
finf5	o		424	1450				
finf5	A		750	1008				
finf5	o		535	1132				
finf5	O		327	1134				
finf5	o		422	1389				
finf5	O		880	1444				
finf5	e		614	1705				
finf5	A		782	1547				
finf5	o		443	1559				
finf5	O		666	1135				
finf6	O		713.0064561702	1037.099985324	3287.8487281067			
finf6	o		516.6046507166	1314.3474481542	2780.9377246896			
finf6	E		713.071398155	1917.5838904406	2950.5321385883			
finf6	e		508.4209498037	1892.3025447374	2895.9384902986			
finf6	A		922.1282496912	1393.7227902275	2604.1916260949			
finf6	a		852.7367430543	1491.2302568579	2914.1643696615			
finf6	E		796.0580168878	1838.8677309687	2905.5753867416			
finf6	a		792.4875326961	1417.084826163	2935.7983769308			
finf6	i		381.0507005711	2757.9184174295	3623.6675705021			
finf6	E		735.0618393197	1637.1928783393	2678.6002686369			
finf6	o		541.0982488295	1325.0863329173	2649.6168866432			
finf6	i		388.5609296446	2741.8808510935	3411.6107688191			
finf6	E		777.5161525916	1740.6010685705	2736.1157845361			
finf6	o		339.8163518806	1250.9572493239	2576.6100663097			
finf6	I		385.7985075961	2663.8827031875	3590.3935402846			
finf6	a		881.3567749876	1468.8340238428	3078.3958168685			
finf6	I		349.2752709693	2690.4987601286	3342.1349020063			
finf6	o		459.4076303569	1209.6235150073	2978.9624721812			
finf6	E		680.3651144824	1960.8900279452	2944.2437286566			
finf6	o		457.3377528326	1400.5186097152	2917.8920804185			
finf6	i		377.9702052142	2574.5199187217	3286.8906182699			
finf6	E		852.8538398049	1893.2112657879	3205.1572020049			
